ID,platform,title,score,audience_score,director,release,genre,subgenre,url
35,Netflix,Extraction,87,23,Steven C. Miller,2015,Action & Adventure,Survival,https://www.rottentomatoes.com/m/extraction
36,Netflix,No Direction Home: Bob Dylan,87,91,Martin Scorsese,2005,Documentary,Biographical,https://www.rottentomatoes.com/m/no_direction_home_bob_dylan/
37,Netflix,Kabhi Khushi Kabhie Gham,87,84,Karan Johar,2001,Romance,Romantic Comedy,https://www.rottentomatoes.com/m/kabhi_khushi_kabhie_gham or https://www.imdb.com/title/tt0248126/
38,Amazon Prime,Kabhi Khushi Kabhie Gham,87,87,Karan Johar,2001,Romance,Romantic Comedy,https://www.rottentomatoes.com/m/kabhi_khushi_kabhie_gham
39,Netflix,His House,87,85,Remi Weekes,2020,Horror & Suspense,Horror,https://www.rottentomatoes.com/m/his_house
40,Netflix,Super Deluxe,87,87,Thiagarajan Kumararaja,2019,Drama,Arthouse,https://www.rottentomatoes.com/m/super_deluxe
41,Netflix,A Secret Love,87,86,Chris Bolan,2020,Documentary,LGBTQ,https://www.rottentomatoes.com/m/a_secret_love
42,Netflix,The Night Comes for Us,87,77,Timo Tjahjanto,2018,Action & Adventure,Martial Arts,https://www.rottentomatoes.com/m/the_night_comes_for_us
43,Netflix,Pad Man,87,79,R. Balki,2018,Drama,Faith & Spirituality,https://www.rottentomatoes.com/m/pad_man
44,Netflix,American Factory,86,86,"Steven Bognar, Julia Reichert",2019,Documentary,Special Interest,https://www.rottentomatoes.com/m/american_factory
45,Netflix,Bird Box,86,63,Susanne Bier,2018,Horror & Suspense,Survival,https://www.rottentomatoes.com/m/bird_box
46,Netflix,The Pianist,86,95,Roman Polański,2002,Drama,Historical Drama,https://www.rottentomatoes.com/m/pianist
47,Netflix,3 Idiots,86,94,Rajkumar Hirani,2009,Comedy,Coming of Age,https://www.rottentomatoes.com/m/3_idiots
48,Netflix,The Distinguished Citizen,86,78,"Gastón Duprat, Mariano Cohn",2016,Drama,Arthouse,https://www.rottentomatoes.com/m/the_distinguished_citizen
49,Netflix,A Shaun the Sheep Movie: Farmageddon,86,82,"Richard Phelan, Will Becher",2019,Animation,Kids,https://www.rottentomatoes.com/m/a_shaun_the_sheep_movie_farmageddon
50,Netflix,A Clockwork Orange,86,89,Stanley Kubrick,1971,Horror & Suspense,Cult Movies,https://www.rottentomatoes.com/m/clockwork_orange
51,Netflix,What Happened to Monday,86,69,Tommy Wirkola,2017,Sci-Fi & Fantasy,Sci-Fi,https://www.rottentomatoes.com/m/what_happened_to_monday/
52,Netflix,Anthony Jeselnik: Thoughts and Prayers,86,,Adam Dubin,2015,Comedy,Stand Up,https://www.rottentomatoes.com/m/anthony_jeselnik_thoughts_and_prayers/
53,Netflix,The White Helmets,86,84,Orlando von Einsiedel,2016,Documentary,Special Interest,https://www.rottentomatoes.com/m/the_white_helmets
54,Netflix,Happy as Lazzaro,85,77,Alice Rohrwacher,2018,Drama,Arthouse,https://www.rottentomatoes.com/m/happy_as_lazzaro
55,Netflix,Chasing Coral,85,85,Jeff Orlowski,2017,Documentary,Nature,https://www.rottentomatoes.com/m/chasing_coral/
56,Netflix,Kal Ho Naa Ho,85,91,Nikkhil Advani,2003,Romance,Romantic Comedy,https://www.rottentomatoes.com/m/kal_ho_naa_ho
57,Amazon Prime,Kal Ho Naa Ho,85,89,Nikkhil Advani,2003,Romance,Romantic Comedy,https://www.rottentomatoes.com/m/kal_ho_naa_ho
58,Netflix,Pan's Labyrinth,85,95,Guillermo del Toro,2006,Fantasy,Coming of Age,https://www.rottentomatoes.com/m/pans_labyrinth
59,Netflix,Team Foxcatcher,85,69,Jon Greenhalgh,2016,Sports,True Crime,https://www.rottentomatoes.com/m/team_foxcatcher
60,Netflix,The Meyerowitz Stories (New and Selected),85,82,Noah Baumbach,2017,Drama,Independent Movies,https://www.rottentomatoes.com/m/the_meyerowitz_stories
61,Netflix,Casino Royale,85,86,Martin Campbell,2006,Action & Adventure,Espionage,https://www.rottentomatoes.com/m/casino_royale
62,Netflix,The Hateful Eight,85,76,Quentin Tarantino,2015,Western,Suspense,https://www.rottentomatoes.com/m/the_hateful_eight/
63,Netflix,Rush,84,89,Ron Howard,2013,Sports,Biographical,https://www.rottentomatoes.com/m/rush
64,Netflix,Zombieland,84,86,Ruben Fleischer,2009,Horror & Suspense,Horror,https://www.rottentomatoes.com/m/zombieland/
65,Netflix,Eurovision Song Contest: The Story of Fire Saga,84,58,David Dobkin,2020,Comedy,Musical,https://www.rottentomatoes.com/m/eurovision_song_contest_the_story_of_fire_saga
66,Netflix,Kapoor & Sons,84,87,Shakun Batra,2016,Drama,Coming of Age,https://www.rottentomatoes.com/m/kapoor_and_sons
67,Amazon Prime,Kapoor & Sons,84,87,Shakun Batra,2016,Drama,Coming of Age,https://www.rottentomatoes.com/m/kapoor_and_sons
68,Netflix,The Perfection,84,68,Richard Shepard,2019,Horror & Suspense,Suspense,https://www.rottentomatoes.com/m/the_perfection
69,Netflix,Dave Chappelle: Sticks & Stones,84,99,Stan Lathan,2019,Comedy,Stand Up,https://www.rottentomatoes.com/m/dave_chappelle_sticks_and_stones
70,Netflix,There Will Be Blood,84,91,Paul Thomas Anderson,2007,Drama,Black Stories,https://www.rottentomatoes.com/m/there_will_be_blood
71,Netflix,Million Dollar Baby,84,90,Clint Eastwood,2004,Sports,Coming of Age,https://www.rottentomatoes.com/m/million_dollar_baby/
72,Netflix,The Social Network,84,86,David Fincher,2010,Drama,Biographical,https://www.rottentomatoes.com/m/the_social_network/
73,Amazon Prime,The Social Network,84,86,David Fincher,2010,Drama,Biographical,https://www.rottentomatoes.com/m/the_social_network/
74,Netflix,The Christmas Chronicles,84,67,Clay Kaytis,2018,Family,Holiday,https://www.rottentomatoes.com/m/the_christmas_chronicles
75,Netflix,Monty Python and the Holy Grail,84,95,"Terry Gilliam, Terry Jones",1975,Comedy,Parody,https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail/
76,Netflix,The Pixar Story,84,89,Leslie Iwerks,2007,Documentary,Special Interest,https://www.rottentomatoes.com/m/the_pixar_story/
77,Disney Plus,The Pixar Story,84,89,Leslie Iwerks,2007,Documentary,Special Interest,https://www.rottentomatoes.com/m/the_pixar_story/
78,Netflix,Ma Rainey's Black Bottom,84,87,George C. Wolfe,2020,Drama,Black Stories,https://www.rottentomatoes.com/m/ma_raineys_black_bottom
79,Netflix,Calibre,84,78,Matt Palmer,2018,Thriller,Suspense,https://www.rottentomatoes.com/m/calibre
80,Netflix,Silver Linings Playbook,84,86,David O. Russell,2012,Romance,Coming of Age,https://www.rottentomatoes.com/m/silver_linings_playbook/
81,Netflix,Over the Moon,84,78,Glen Keane,2020,Animation,Kids,https://www.rottentomatoes.com/m/over_the_moon
82,Netflix,"What Happened, Miss Simone?",84,87,Liz Garbus,2015,Documentary,Biographical,https://www.rottentomatoes.com/m/what_happened_miss_simone
83,Netflix,Nightcrawler,84,85,Dan Gilroy,2014,Thriller,Crime,https://www.rottentomatoes.com/m/nightcrawler
84,Netflix,1922,84,68,Zak Hilditch,2017,Horror & Suspense,Horror,https://www.rottentomatoes.com/m/1922
85,Netflix,Paddleton,84,89,Alex Lehmann,2019,Drama,Independent Movies,https://www.rottentomatoes.com/m/paddleton
86,Netflix,Cargo,84,,Arati Kadav,2020,Sci-Fi & Fantasy,Sci-Fi,https://www.rottentomatoes.com/m/cargo
87,Netflix,Rain Man,83,90,Barry Levinson,1988,Drama,Coming of Age,https://www.rottentomatoes.com/m/rain_man/
88,Netflix,Cuba and the Cameraman,83,91,Jon Alpert,2017,Documentary,Special Interest,https://www.rottentomatoes.com/m/cuba_and_the_cameraman
89,Netflix,The Ritual,83,62,David Bruckner,2018,Horror & Suspense,Survival,https://www.rottentomatoes.com/m/the_ritual
90,Netflix,The Hater,83,56,Jan Komasa,2020,Thriller,Suspense,https://www.rottentomatoes.com/m/the_hater
91,Netflix,The Edge of Democracy,83,77,Petra Costa,2019,Documentary,Politics,https://www.rottentomatoes.com/m/the_edge_of_democracy
92,Netflix,22-Jul,83,,Paul Greengrass,2018,Action & Adventure,Espionage,https://www.rottentomatoes.com/m/2018_movie_title
93,Netflix,Guru,83,85,Mani Ratnam,2007,Drama,Faith & Spirituality,https://www.rottentomatoes.com/m/guru
94,Netflix,Dumplin',83,67,Anne Fletcher,2018,Comedy,Coming of Age,https://www.rottentomatoes.com/m/dumplin/
95,Netflix,The Conjuring,83,86,James Wan,2013,Horror & Suspense,Horror,https://www.rottentomatoes.com/m/the_conjuring
96,Netflix,Marriage Story,83,84,Noah Baumbach,2019,Drama,Coming of Age,https://www.rottentomatoes.com/m/marriage_story
97,Netflix,My Octopus Teacher,83,89,"Pippa Ehrlich, James Reed",2020,Documentary,Nature,https://www.rottentomatoes.com/m/my_octopus_teacher
98,Netflix,About Time,83,89,Richard Curtis,2013,Romance,Romantic Comedy,https://www.rottentomatoes.com/m/about_time
99,Netflix,Hey Arnold! The Jungle Movie,83,68,"Raymie Muzquiz, Stu Livingston",2017,Animation,Kids,https://www.rottentomatoes.com/m/hey_arnold_the_jungle_movie/
100,Netflix,Kung Fu Panda,83,87,"John Stevenson, Mark Osborne",2008,Animation,Martial Arts,https://www.rottentomatoes.com/m/kung_fu_panda/
101,Netflix,Superbad,83,88,Greg Mottola,2007,Comedy,Coming of Age,https://www.rottentomatoes.com/m/superbad/
102,Netflix,The Invisible Guest,83,90,Paulo Oriol,2016,Thriller,Mystery,https://www.rottentomatoes.com/m/the_invisible_guest
103,Netflix,Mystic River,82,89,Clint Eastwood,2003,Drama,Crime,https://www.rottentomatoes.com/m/mystic_river/
104,Netflix,The Theory of Everything,82,86,James Marsh,2014,Drama,Biographical,https://www.rottentomatoes.com/m/the_theory_of_everything
105,Netflix,The Life Ahead,82,85,Edoardo Ponti,2020,Drama,Coming of Age,https://www.rottentomatoes.com/m/the_life_ahead
106,Netflix,Scott Pilgrim vs. the World,82,83,Edgar Wright,2010,Action & Adventure,Coming of Age,https://www.rottentomatoes.com/m/scott_pilgrim_vs_the_world/
107,Netflix,Being Elmo: A Puppeteer's Journey,82,91,Constance Marks,2011,Documentary,Special Interest,https://www.rottentomatoes.com/m/being_elmo_a_puppeteers_journey
108,Netflix,The Resistance Banker,82,69,Joram Lürsen,2018,Drama,War Drama,https://www.rottentomatoes.com/m/the_resistance_banker
109,Netflix,How to Train Your Dragon 2,82,89,Dean DeBlois,2014,Animation,Fantasy,https://www.rottentomatoes.com/m/how_to_train_your_dragon_2/
110,Netflix,The Endless Trench,82,,"Aitor Arregi, Jon Garaño, Jose Mari Goenaga",2019,Drama,Suspense,https://www.rottentomatoes.com/m/the_endless_trench
111,Netflix,Even the Rain,82,81,Icíar Bollaín,2010,Drama,Historical Drama,https://www.rottentomatoes.com/m/even_the_rain
112,Netflix,Dear Ex,82,85,"Hsu Chih-yen, Mag Hsu",2018,Drama,LGBTQ,https://www.rottentomatoes.com/m/dear_ex
113,Netflix,Braven,82,74,Lin Oeding,2018,Action & Adventure,Survival,https://www.rottentomatoes.com/m/braven
114,Netflix,Period. End of Sentence.,82,83,Rayka Zehtabchi,2018,Documentary,Women's Issues,https://www.rottentomatoes.com/m/period_end_of_sentence
115,Netflix,Captain Fantastic,82,79,Matt Ross,2016,Drama,Coming of Age,https://www.rottentomatoes.com/m/captain_fantastic
116,Netflix,Veronica,81,78,Paco Plaza,2017,Horror & Suspense,Horror,https://www.rottentomatoes.com/m/veronica
117,Netflix,The Siege of Jadotville,81,84,Richie Smyth,2016,War & Military,War,https://www.rottentomatoes.com/m/the_siege_of_jadotville/
118,Netflix,Into the Inferno,81,72,Werner Herzog,2016,Documentary,Nature,https://www.rottentomatoes.com/m/into_the_inferno
119,Netflix,Ricky Gervais: Humanity,81,85,John L. Spencer,2018,Comedy,Stand Up,https://www.rottentomatoes.com/m/ricky_gervais_humanity
120,Netflix,A Whisker Away,81,78,"Junichi Sato, Tomotaka Shibayama",2020,Animation,Anime,https://www.rottentomatoes.com/m/a_whisker_away
121,Netflix,Lady Bird,81,79,Greta Gerwig,2017,Drama,Coming of Age,https://www.rottentomatoes.com/m/lady_bird
122,Hulu,Road to Perdition,81,89,,2002,Drama,Crime,https://www.rottentomatoes.com/m/road_to_perdition/
123,Netflix,Boogie Nights,81,89,Paul Thomas Anderson,1997,Drama,Coming of Age,https://www.rottentomatoes.com/m/boogie_nights/
124,Netflix,Total Recall,81,78,Paul Verhoeven,1990,Sci-Fi & Fantasy,Sci-Fi,https://www.rottentomatoes.com/m/total_recall
125,Hulu,Total Recall,81,44,,2012,Sci-Fi & Fantasy,Sci-Fi,https://www.rottentomatoes.com/m/total_recall
126,Netflix,Bo Burnham: Inside,81,97,Bo Burnham,2021,Comedy,Stand Up,https://www.rottentomatoes.com/m/bo_burnham_inside
127,Netflix,Snowpiercer,81,72,Bong Joon Ho,2013,Sci-Fi & Fantasy,Survival,https://www.rottentomatoes.com/m/snowpiercer
128,Netflix,Circus of Books,81,85,Rachel Mason,2020,Documentary,LGBTQ,https://www.rottentomatoes.com/m/circus_of_books
129,Netflix,Tallulah,81,74,Sian Heder,2016,Drama,Coming of Age,https://www.rottentomatoes.com/m/tallulah
130,Netflix,The Conjuring 2,81,86,James Wan,2016,Horror & Suspense,Horror,https://www.rottentomatoes.com/m/the_conjuring_2/
131,Netflix,Nocturnal Animals,81,72,Tom Ford,2016,Thriller,Suspense,https://www.rottentomatoes.com/m/nocturnal_animals/
132,Netflix,Get Me Roger Stone,81,68,"Dylan Bank, Daniel DiMauro, Morgan Pehme",2017,Documentary,Special Interest,https://www.rottentomatoes.com/m/get_me_roger_stone/
133,Netflix,Hachi: A Dog's Tale,81,85,Lasse Hallström,2009,Family,Animals,https://www.rottentomatoes.com/m/hachi_a_dogs_tale/
134,Netflix,Dances with Wolves,80,89,Kevin Costner,1990,Western,Historical Drama,https://www.rottentomatoes.com/m/dances_with_wolves/
135,Netflix,Udta Punjab,80,72,Abhishek Chaubey,2016,Drama,Black Stories,https://www.rottentomatoes.com/m/udta_punjab
136,Netflix,Divines,80,78,Houda Benyamina,2016,Drama,Coming of Age,https://www.rottentomatoes.com/m/divines
137,Netflix,Maktub,80,,Oded Raz,2018,Comedy,Faith & Spirituality,https://www.rottentomatoes.com/m/maktub
138,Netflix,Ittefaq,80,68,Abhay Chopra,2017,Thriller,Suspense,https://www.rottentomatoes.com/m/ittefaq
139,Netflix,Hannah Gadsby: Nanette,80,98,"Madeleine Parry, Jon Olb",2018,Comedy,Stand Up,https://www.rottentomatoes.com/m/hannah_gadsby_nanette
140,Netflix,Ali Wong: Hard Knock Wife,80,85,Jay Karas,2018,Comedy,Stand Up,https://www.rottentomatoes.com/m/ali_wong_hard_knock_wife
141,Netflix,Seven Pounds,80,82,Gabriele Muccino,2008,Drama,Faith & Spirituality,https://www.rottentomatoes.com/m/seven_pounds/
142,Netflix,Uncut Gems,80,92,"Josh Safdie, Benny Safdie",2019,Thriller,Suspense,https://www.rottentomatoes.com/m/uncut_gems
143,Netflix,The Kindergarten Teacher,80,53,Sara Colangelo,2018,Drama,Coming of Age,https://www.rottentomatoes.com/m/the_kindergarten_teacher
144,Netflix,Les Misérables,80,85,Tom Hooper,2012,Drama,Coming of Age,https://www.rottentomatoes.com/m/les_miserables
145,Amazon Prime,Les Misérables,80,77,Ladj LY,2020,Drama,Black Stories,https://www.rottentomatoes.com/m/les_miserables
146,Netflix,The Sky Is Pink,80,85,Shonali Bose,2019,Drama,Family Drama,https://www.rottentomatoes.com/m/the_sky_is_pink
147,Netflix,Next Gen,80,68,"Kevin R. Adams, Joe Ksander",2018,Animation,Kids,https://www.rottentomatoes.com/m/next_gen
148,Netflix,Tom Segura: Disgraceful,80,94,Jay Karas,2018,Comedy,Stand Up,https://www.rottentomatoes.com/m/tom_segura_disgraceful
149,Netflix,My Happy Family,80,84,"Nana Ekvtimishvili, Simon Gross",2017,Drama,Coming of Age,https://www.rottentomatoes.com/m/my_happy_family
150,Netflix,The American Meme,80,42,Bert Marcus,2018,Documentary,Special Interest,https://www.rottentomatoes.com/m/the_american_meme
151,Netflix,Badla,80,87,Sujoy Ghosh,2019,Thriller,Suspense,https://www.rottentomatoes.com/m/badla
152,Netflix,Okko's Inn,80,78,Kitaro Kosaka,2018,Animation,Coming of Age,https://www.rottentomatoes.com/m/okkos_inn
153,Netflix,The Willoughbys,80,63,Kris Pearn,2020,Animation,Kids,https://www.rottentomatoes.com/m/the_willoughbys
154,Netflix,Hunt for the Wilderpeople,80,91,Taika Waititi,2016,Comedy,Coming of Age,https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople/
155,Hulu,Hunt for the Wilderpeople,80,91,,2016,Comedy,Coming of Age,https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople/
156,Netflix,Stardust,79,85,Matthew Vaughn,2007,Fantasy,Coming of Age,https://www.rottentomatoes.com/m/stardust
157,Hulu,Stardust,79,79,,2020,Fantasy,Coming of Age,https://www.rottentomatoes.com/m/stardust
158,Netflix,Wheelman,79,62,Jeremy Rush,2017,Action & Adventure,Crime,https://www.rottentomatoes.com/m/wheelman
159,Netflix,The Artist,79,89,Michel Hazanavicius,2011,Drama,Black Stories,https://www.rottentomatoes.com/m/the_artist
160,Hulu,The Artist,79,89,,2011,Comedy,Black Stories,https://www.rottentomatoes.com/m/the_artist
161,Netflix,On My Skin,79,85,Alessio Cremonini,2018,Drama,Black Stories,https://www.rottentomatoes.com/m/on_my_skin
162,Netflix,Gaga: Five Foot Two,79,71,Chris Moukarbel,2017,Documentary,Special Interest,https://www.rottentomatoes.com/m/gaga_five_foot_two
163,Netflix,Hugo,79,85,Martin Scorsese,2011,Drama,Coming of Age,https://www.rottentomatoes.com/m/hugo
164,Netflix,The Impossible,79,81,J.A. Bayona,2012,Drama,Disaster,https://www.rottentomatoes.com/m/the_impossible_2012
165,Netflix,War Dogs,79,71,Todd Phillips,2016,Action & Adventure,Crime,https://www.rottentomatoes.com/m/war_dogs
166,Netflix,Ip Man,79,94,Wilson Yip,2008,Action & Adventure,Martial Arts,https://www.rottentomatoes.com/m/ip_man/
167,Netflix,The Speed Cubers,79,91,Sue Kim,2020,Documentary,Special Interest,https://www.rottentomatoes.com/m/the_speed_cubers
168,Netflix,Kung Fu Panda 2,79,81,Jennifer Yuh Nelson,2011,Animation,Martial Arts,https://www.rottentomatoes.com/m/kung_fu_panda_2/
169,Netflix,The Dirt,79,68,Jeff Tremaine,2019,Music,Rockumentary,https://www.rottentomatoes.com/m/the_dirt
170,Netflix,Andhadhun,79,94,Sriram Raghavan,2018,International,Mystery,https://www.rottentomatoes.com/m/andhadhun
171,Netflix,Atlantics,79,69,Mati Diop,2019,Drama,LGBTQ,https://www.rottentomatoes.com/m/atlantics
172,Netflix,37 Seconds,79,,Hikari,2020,Drama,Coming of Age,https://www.rottentomatoes.com/m/37_seconds
173,Netflix,El Camino: A Breaking Bad Movie,79,89,Vince Gilligan,2019,Thriller,Crime,https://www.rottentomatoes.com/m/el_camino_a_breaking_bad_movie
174,Netflix,Underworld,79,79,Len Wiseman,2003,Horror & Suspense,Fantasy,https://www.rottentomatoes.com/m/underworld/
175,Hulu,Underworld,79,79,,2003,Horror & Suspense,Horror,https://www.rottentomatoes.com/m/underworld/
176,Amazon Prime,Underworld,79,27,Roger Christian,1997,Horror & Suspense,Horror,https://www.rottentomatoes.com/m/underworld
177,Netflix,The Ring,79,81,Gore Verbinski,2002,Horror & Suspense,Horror,https://www.rottentomatoes.com/m/ring/
178,Netflix,Hold the Dark,79,56,Jeremy Saulnier,2018,Horror & Suspense,Suspense,https://www.rottentomatoes.com/m/hold_the_dark/
179,Netflix,The Karate Kid,79,82,John G. Avildsen,1984,Sports,Martial Arts,https://www.rottentomatoes.com/m/karate_kid/
180,Netflix,Quincy,79,87,"Rashida Jones, Alan Hicks",2018,Documentary,Biographical,https://www.rottentomatoes.com/m/quincy
181,Netflix,Get In,79,,Olivier Abbou,2019,Horror & Suspense,Survival,https://www.rottentomatoes.com/m/get_in
182,Netflix,Jerry Before Seinfeld,79,84,Michael Bonfiglio,2017,Comedy,Stand Up,https://www.rottentomatoes.com/m/jerry_before_seinfeld
183,Netflix,Mike Birbiglia: The New One,78,97,Seth Barrish,2019,Comedy,Stand Up,https://www.rottentomatoes.com/m/mike_birbiglia_the_new_one
184,Netflix,Klaus,78,94,Sergio Pablos,2019,Animation,Kids,https://www.rottentomatoes.com/m/klaus
185,Netflix,Snowden,78,84,Oliver Stone,2016,Thriller,Espionage,https://www.rottentomatoes.com/m/snowden
186,Amazon Prime,Snowden,78,,,2007,Thriller,Espionage,https://www.rottentomatoes.com/m/snowden
187,Netflix,What's Eating Gilbert Grape,78,89,Lasse Hallström,1993,Drama,Coming of Age,https://www.rottentomatoes.com/m/whats_eating_gilbert_grape
188,Netflix,The Da Vinci Code,78,47,Ron Howard,2006,Thriller,Mystery,https://www.rottentomatoes.com/m/da_vinci_code/
189,Hulu,The Da Vinci Code,78,47,,2006,Thriller,Mystery,https://www.rottentomatoes.com/m/da_vinci_code/
190,Netflix,Don 2,78,81,Farhan Akhtar,2011,Action & Adventure,Espionage,https://www.rottentomatoes.com/m/don_2
191,Netflix,Elena,78,85,Petra Costa,2012,Documentary,Coming of Age,https://www.rottentomatoes.com/m/elena
192,Netflix,Real Steel,78,74,Shawn Levy,2011,Sports,Science Fiction,https://www.rottentomatoes.com/m/real_steel/
193,Netflix,The Founder,78,84,John Lee Hancock,2016,Drama,Biographical,https://www.rottentomatoes.com/m/the_founder/
194,Netflix,Stargate,78,73,Roland Emmerich,1994,Sci-Fi & Fantasy,Sci-Fi,https://www.rottentomatoes.com/m/stargate/
195,Amazon Prime,Stargate,78,73,Roland Emmerich,1994,Sci-Fi & Fantasy,Sci-Fi,https://www.rottentomatoes.com/m/stargate/
196,Netflix,Shirkers,78,85,Sandi Tan,2018,Documentary,Independent Movies,https://www.rottentomatoes.com/m/shirkers
197,Netflix,Chef,78,87,Jon Favreau,2014,Comedy,Lifestyle,https://www.rottentomatoes.com/m/chef
198,Amazon Prime,Chef,78,71,Raja Menon,2017,Comedy,Lifestyle,https://www.rottentomatoes.com/m/chef
199,Netflix,Fire in the Blood,78,91,Dylan Mohan Gray,2012,Documentary,Social & Cultural Documentary,https://www.rottentomatoes.com/m/fire_in_the_blood
200,Netflix,Austin Powers: International Man of Mystery,78,78,Jay Roach,1997,Comedy,Parody,https://www.rottentomatoes.com/m/austin_powers_international_man_of_mystery
201,Netflix,Miles Davis: Birth of the Cool,78,87,Stanley Nelson,2019,Documentary,Biographical,https://www.rottentomatoes.com/m/miles_davis_birth_of_the_cool
202,Netflix,Insidious,78,62,James Wan,2010,Horror & Suspense,Horror,https://www.rottentomatoes.com/m/insidious/
203,Netflix,Screwball,78,84,Billy Corben,2018,Comedy,Parody,https://www.rottentomatoes.com/m/screwball
